"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Chicago Ridge","1312	","Montana","SNOTEL","Sanders","5700","48.06224","-115.69748","170102131301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.9",,,"57","60","66",,,"8","8","-1.9","0","4","1","Lowest",,,"5.1","4.8","2.9","7.9","2025","2024","4"
"Chilkoot Meadow","CHM	","California","Cooperator Snow Sensors","Madera","7230","37.41","-119.49","180400061101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"1.4","0.2","1.5","0.4","0","9","2017, 2018, 2023, more","2004","34"
"Chilliwack River","1D17P	","British Columbia","Cooperator Snow Sensors","	","5318","49.01667","-121.7","171100010206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"7.4","6.4","7.4","6.4","0","19.6","2008","2009","28"
"Chisana","1093	","Alaska","SNOTEL","Valdez-Cordova","3320","62.06947","-142.04919","190803010305	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.6","160","133","133","133","100","41","42","38","40","0.4","76","5","14",,"1","1.2","1.2","1.2","0","3.2","2016","2022","18"
"Chocolate Gulch","895	","Idaho","SNOTEL","Blaine","6310","43.7685","-114.41812","170402190301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.7","78","78","70","78","88","5","6","5","6","-0.2","41","20","11",,"0.9","0.9","1","0.9","0","3","2016, 2018, 2019, more","1996","33"
"Cinnabar Park","1046	","Wyoming","SNOTEL","Albany","9670","41.23843","-106.23101","101800100503	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","16","15","18","18","86","3","3","3","3","-2.8","5","22","2","2nd Lowest","3.7","3.9","3.3","3.4","0.2","5.6","2016","2010","23"
"Clackamas Lake","398	","Oregon","SNOTEL","Clackamas","3400","45.09658","-121.75443","170900110301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.4","31","32","1","Lowest","0.9","0.3","0.9","0.4","0","5.3","2019, 2021, 2025, more","1996","46"
"Clayton Springs","983	","Utah","SNOTEL","Garfield","10010","37.9725","-111.83355","160300020501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.4","141","171","141","200","100","19","21","19","21","1.2","84","5","22",,"1.7","1.4","1.7","1.2","0","8.3","2007, 2016, 2021, more","2000","26"
"Clear Creek #1","399	","Utah","SNOTEL","Utah","8960","39.86671","-111.28363","160202020102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"1.6","1.2","1.9","1.3","0","6.1","2007, 2019, 2021, more","1982","47"
"Clear Creek #2","400	","Utah","SNOTEL","Utah","7850","39.89275","-111.25154","160202020102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.4","6","45","1","Lowest","1.3","1.4","1.5","1.4","0","4","2007, 2021, 2025, more","1984","48"
"Clear Lake","401	","Oregon","SNOTEL","Wasco","3810","45.18832","-121.6916","170703060901	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","33","100","29","67","100","2","2","2","2","-0.1","42","27","20",,"0.6","0.2","0.7","0.3","0","3.9","2018, 2019, 2021, more","1996","46"
"Cloud Peak Reservoir","402	","Wyoming","SNOTEL","Johnson","9830","44.40328","-107.06074","100902060301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.4","73","75","75","77","100","13","13","13","14","-0.7","19","39","9",,"3.3","3.2","3.2","3.1","0.4","6.6","1978","1994","48"
"Clover Meadow","403	","Montana","SNOTEL","Madison","8770","45.01788","-111.8456","100200070803	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.8","50","53","50","51","90","9","10","9","10","-1.7","9","44","4",,"3.6","3.4","3.6","3.5","1.1","6","1987","1985","48"
"Cochetopa Pass","1059	","Colorado","SNOTEL","Saguache","10020","38.16273","-106.5988","130100040203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","29","33","29","33","67","4","4","4","4","-0.4","19","18","4",,"0.7","0.6","0.7","0.6","0","2.1","2007, 2023","2024","22"
"Cold Springs","405	","Wyoming","SNOTEL","Fremont","9640","43.27676","-109.44585","100800010702	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.7","41","39","39","39","100","8","8","8","8","-1.1","14","37","6",,"1.7","1.8","1.8","1.8","0","5.4","1999, 2007","1986","43"
"Cold Springs Camp","406	","Oregon","SNOTEL","Klamath","5940","42.53305","-122.17683","180102030202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","13","33","11","25","22","1","1","1","1","-0.6","32","31","12",,"1.5","0.6","1.9","0.8","0","9.2","2008, 2018, 2021, more","1994","45"
"Coldfoot","958	","Alaska","SNOTEL","Yukon-Koyukuk","1070","67.25333","-150.183","190901010604	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","56","67","59","67","100","14","14","14","14","-0.5","20","25","6",,"1.8","1.5","1.7","1.5","0","4.5","2012","2004","31"
"Cole Canyon","982	","Wyoming","SNOTEL","Crook","5930","44.48632","-104.41057","101202030302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-0.6","40","16","1","Lowest","0.8","0.8","0.7","0.6","0","2.9","2023, 2024, 2025, more","2000","26"
"Cole Creek","407	","Montana","SNOTEL","Carbon","7910","45.19405","-109.34548","100700060801	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-3.4","2","51","1","Lowest","3.6","3.4","3.5","3.4","0","8.3","2023, 2025","1993","52"
"Columbine","408	","Colorado","SNOTEL","Jackson","9170","40.39591","-106.60437","101800010102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","31","30","31","30","100","3","4","3","4","-2.1","9","42","4",,"2.9","3","2.9","3","0.3","6.6","2007","1984","46"
"Columbine Pass","409	","Colorado","SNOTEL","Montrose","9160","38.41819","-108.38313","140200050202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.6","94","114","89","100","100","8","9","8","9","0","54","19","20",,"1.7","1.4","1.8","1.6","0","5.1","2007, 2008, 2017, more","1986","40"
"Columbus Basin","904	","Colorado","SNOTEL","La Plata","10780","37.44146","-108.02468","140801050101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.8","44","53","47","62","100","7","7","7","7","-1.1","32","22","11",,"4.1","3.4","3.8","2.9","0","11","1999, 2007","2000","32"
"Combination","410	","Montana","SNOTEL","Granite","5620","46.46523","-113.39358","170102020401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","20","20","20","20","25","2","2","2","2","-0.4","32","37","16",,"0.5","0.5","0.5","0.5","0","2.1","2016, 2019, 2023, more","1973","54"
"Cool Creek","411	","Idaho","SNOTEL","Clearwater","6310","46.76361","-115.29528","170603070702	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","6","6","6","6","12","1","1","1","1","-4.7","0","41","1","Lowest","5","4.9","5.1","5","0.3","13.6","2025","1984","41"
"Cooper Lake","959	","Alaska","SNOTEL","Kenai Peninsula","1150","60.39027","-149.6936","190203021205	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.6","94","107","80","84","100","10","11","10","11","-0.3","48","24","21",,"1.7","1.5","2","1.9","0","5.9","2014, 2018, 2019, more","1982","45"
"Copeland Lake","412	","Colorado","SNOTEL","Boulder","8570","40.20733","-105.5695","101900050202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","40","50","33","50","67","3","3","3","3","-0.2","43","26","15",,"0.5","0.4","0.6","0.4","0","2.1","2008, 2012, 2019, more","1985","45"
"Copper Bottom","413	","Montana","SNOTEL","Lewis And Clark","5200","47.05678","-112.595","170102030103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-0.6","19","39","1","Lowest","0.8","0.6","0.9","0.6","0","3.4","2019, 2023, 2025, more","1996","48"
"Copper Camp","414	","Montana","SNOTEL","Lewis And Clark","6980","47.08158","-112.72955","170102030103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","9","12","9","10","16","1","1","1","1","-2.8","0","48","1","Lowest","3.5","2.6","3.3","3.1","0.3","8","2025","1984","48"
"Copper Mountain","415	","Colorado","SNOTEL","Summit","10500","39.48917","-106.17154","140100020302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","20","23","22","23","100","3","3","3","3","-1.7","11","43","4",,"2.5","2.2","2.3","2.2","0","4.5","1978, 1990","1991","48"
"Corduroy Flat","1209	","Nevada","SNOTEL","White Pine","8640","38.99651","-115.42478","160600121206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,,,"0",,,"0","0","0","100","1","1",,,,"0","0","0","0","2023, 2024, 2025","2023, 2024, 2025","3"
"Coronado Trail","416	","Arizona","SNOTEL","Apache","8400","33.80418","-109.15352","150400040501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.7","350",,"350",,"100","17","22","17","21","0.7","91","5","42",,"0.2","0","0.2","0","0","1.2","2020, 2021, 2024, more","2000","46"
"Corral","1236	","Utah","SNOTEL","Carbon","8210","39.65795","-110.37906","140600070903	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8",,,"160","267","89",,,"9","11","0.5","75","4","10",,,,"0.5","0.3","0","1.7","2019, 2021, 2023, more","2013","13"
"Corral Canyon","417	","Nevada","SNOTEL","Elko","8440","40.27551","-115.54017","160401030401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.3","19","39","1","Lowest","1.4","1","1.7","1.3","0","6.3","2008, 2019, 2025, more","2022","48"
"Corral Pass","418	","Washington","SNOTEL","Pierce","5810","47.01872","-121.46464","171100140307	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","14","17","13","15","16","1","1","1","1","-2.9","5","42","2","2nd Lowest","3.5","2.9","3.8","3.4","0.4","10.3","2008","1994","44"
"Cottonwood Creek","419	","Wyoming","SNOTEL","Lincoln","7710","42.6459","-110.81482","170401050102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.5","83","83","83","86","100","11","11","11","11","-0.4","40","26","15",,"3","3","3","2.9","0.3","6","1993, 1999","1995, 2010","43"
"Cottonwood Lakes","CWD	","California","Cooperator Snow Sensors","Inyo","10180","36.483","-118.177","180901030404	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","4","400","1,000","400","667","100","27","30","24","28","3.4","96","3","44",,"1","0.4","1","0.6","-0.7","6.4","1983","2004","46"
"Couch Summit","1306	","Idaho","SNOTEL","Camas","6770","43.51762","-114.80214","170501130204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4",,,"44","36","44",,,"2","2","-0.7","25","4","2","2nd Lowest",,,"0.9","1.1","0","2","2023","2022","5"
"Cougar Mountain","420	","Washington","SNOTEL","King","3210","47.27666","-121.67138","171100130202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.8","32","31","1","Lowest","1","0.4","1.2","0.8","0","7.6","2021, 2023, 2025, more","1994","45"
"County Line","422	","Oregon","SNOTEL","Umatilla","4840","45.19107","-118.55015","170601040202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-0.1","47","25","1","Lowest","0.3","0.1","0.3","0.1","0","2.1","2021, 2023, 2025, more","1994","46"
"Cozy Cove","423	","Idaho","SNOTEL","Valley","5410","44.28846","-115.65508","170501200403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","14","17","11","12","100","1","1","1","1","-0.7","30","32","13",,"0.7","0.6","0.9","0.8","0","4","2018, 2019, 2023, more","1984","45"
"Crab Creek","424	","Idaho","SNOTEL","Clark","6870","44.437","-111.99384","170402140108	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.3","9","41","1","Lowest","1.2","1.2","1.4","1.3","0","4.2","2016, 2023, 2025, more","2022","45"
"Crater Meadows","425	","Idaho","SNOTEL","Clearwater","5960","46.56394","-115.28903","170603070502	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","10","10","10","9","24","1","1","1","1","-5.2","0","42","1","Lowest","5.1","5.2","5.2","5.7","0.5","13.2","2025","1984","42"
"Crazyman Flat","1010	","Oregon","SNOTEL","Klamath","6190","42.6381","-120.94917","180102020101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","11","25","10","25","50","1","1","1","1","-0.3","29","18","8",,"0.9","0.4","1","0.4","0","3.8","2019, 2021, 2023, more","2005","25"
"Creamers Field","1302	","Alaska","SNOTEL","Fairbanks North Star","440","64.86534","-147.73617","190803060907	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6",,,"50","60","86",,,"11","10","-0.4","25","4","2","2nd Lowest",,,"1.2","1","0.4","2.2","2021","2024","5"
"Crescent Lake #1","2002	","Minnesota","SCAN","Sherburne","980","45.41667","-93.95","070102030503	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"0.6","0.4","0","2.7","2009, 2013, 2015, more","2002","21"
"Crosho","426	","Colorado","SNOTEL","Rio Blanco","8960","40.16749","-107.05769","140500010106	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","13","12","14","12","40","2","2","2","2","-1.4","15","34","5",,"1.5","1.7","1.4","1.6","0","4","1989, 2004, 2016, more","1995","40"
"Crow Creek","1045	","Wyoming","SNOTEL","Albany","8320","41.22824","-105.38571","101900090104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","9","9","11","14","25","1","1","1","2","-0.6","18","19","5",,"1.1","1.1","0.9","0.7","0","3","2012, 2020, 2021, more","2009","23"
"Crowder Flat","977	","California","SNOTEL","Modoc","5180","41.89318","-120.75202","180102040103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","100",,"100",,"50","2","2","2","2","0.1","81","6","19",,"0.1","0","0.1","0","0","0.8","2020, 2021, 2023, more","2022","27"
"Crystal Lake","427	","Montana","SNOTEL","Fergus","6130","46.78936","-109.51202","100401030204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2","2","47","1","Lowest","2.4","2.2","2.2","2","0","7.2","1988, 2025","2009","48"
"Css Lab","428	","California","SNOTEL","Nevada","6880","39.32565","-120.36807","180201250602	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","43","75","32","60","75","2","2","2","2","-0.4","45","24","20",,"1.4","0.8","1.9","1","0","9.8","2018, 2019, 2021, more","1983","43"
"Culebra #2","430	","Colorado","SNOTEL","Costilla","10570","37.20939","-105.19988","130100020902	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","21","22","21","22","100","3","3","3","3","-1.4","9","43","5",,"1.9","1.8","1.9","1.8","0","4.9","1989","1996","47"
"Cumbres Trestle","431	","Colorado","SNOTEL","Conejos","10030","37.01877","-106.45275","130201020203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.4","38","40","40","45","100","5","5","5","5","-1.7","22","36","11",,"3.7","3.5","3.5","3.1","0","9.3","1989, 1999","1994","46"
"Currant Creek","432	","Utah","SNOTEL","Wasatch","7920","40.35747","-111.08993","140600040401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.7","23","37","1","Lowest","0.7","0.7","0.9","0.7","0","3.6","2018, 2019, 2025, more","1984","48"
"Dahl Creek","1303	","Alaska","SNOTEL","Northwest Arctic","250","66.94517","-156.90318","190503021508	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2",,,"52","50","100",,,"10","9","-1.2","0","4","1","Lowest",,,"2.3","2.4","1.2","3.2","2025","2023","4"
"Daisy Peak","919	","Montana","SNOTEL","Meagher","7590","46.66858","-110.33022","100402010106	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-1.7","7","29","1","Lowest","1.8","1.9","1.7","1.7","0","4.3","1999, 2016, 2025","2009","31"
"Daly Creek","433	","Montana","SNOTEL","Ravalli","5780","46.18367","-113.8533","170102050901	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","14","15","14","15","100","2","2","2","2","-1.1","9","42","5",,"1.4","1.3","1.4","1.3","0","3.6","2008, 2016, 2023, more","1985","46"
"Daly Lake","434	","Oregon","SNOTEL","Linn","3690","44.52147","-122.08718","170900060101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","20","50","18","50","50","1","1","1","1","-0.2","44","26","19",,"1","0.4","1.1","0.4","0","9.1","2018, 2019, 2021, more","1994","46"
"Dana Meadows","DAN	","California","Cooperator Snow Sensors","Tuolumne","9810","37.897","-119.257","180400090102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"2.8","2.6","3.5","2.6","0","10.5","2007, 2008, 2019, more","1982","38"
"Daniels-Strawberry","435	","Utah","SNOTEL","Wasatch","8010","40.2953","-111.25677","140600040101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"1.2","1","1.3","1","0","5.2","2016, 2019, 2021, more","1982","47"
"Darkhorse Lake","436	","Montana","SNOTEL","Beaverhead","8930","45.17368","-113.5846","100200040301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.9","50","51","52","52","100","8","9","9","9","-2.7","7","43","4",,"5.8","5.7","5.6","5.6","1.8","9.8","1987","1995","46"
"Deadman Creek","437	","Montana","SNOTEL","Meagher","6440","46.79279","-110.67545","100301030401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.3","3","57","1","Lowest","1.4","1.4","1.3","1.3","0","2.5","1990, 2016, 2025","2019, 2020, 2022, more","59"
"Deadman Creek","DDM	","California","Cooperator Snow Sensors","Tuolumne","9310","38.332","-119.653","180400100203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8","47","80","50","100","80","3","3","3","3","0","51","18","18",,"1.7","1","1.6","0.8","0","7.8","2012, 2016, 2023, more","2004","36"
"Deadman Hill","438	","Colorado","SNOTEL","Larimer","10240","40.80572","-105.77018","101900070502	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","31","32","32","34","100","6","6","6","5","-2.3","4","46","3",,"3.9","3.8","3.8","3.5","0.2","9.8","1999","1985","48"
"Deadwood Summit","439	","Idaho","SNOTEL","Valley","6990","44.54492","-115.56386","170501200401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.6","37","40","34","36","70","4","4","4","4","-2.9","13","40","7",,"4.3","4","4.7","4.5","0.1","12.6","1993","1984","46"
"Decline Creek","1319	","Washington","SNOTEL","Snohomish","4480","48.23594","-121.455","171100060403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2",,,"5","6","8",,,"0","0","-3.4","17","6","2","2nd Lowest",,,"4.2","3.6","0","11","2019","2024","7"
"Deer Park","923	","Wyoming","SNOTEL","Fremont","9690","42.59076","-108.90273","100800030101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.2","71","73","71","73","100","12","13","12","13","-0.8","26","21","7",,"3.1","3","3.1","3","0.6","6.9","2016","2004","28"
"Deer Pass","1345	","Washington","SNOTEL","Skagit","3360","48.3325","-121.72133","171100080103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0","0",,,"0","0","-1.2","0","3","1","Lowest",,,"1.1","1.2","0","2.2","2025","2022","3"
"Derr.","440	","Oregon","SNOTEL","Wheeler","5850","44.4465","-119.93012","170703040401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","14","25","9","20","33","1","1","1","1","-0.4","29","33","12",,"0.7","0.4","1.1","0.5","0","5.7","2019, 2021, 2023, more","1984","46"
"Devils Postpile","DPO	","California","Cooperator Snow Sensors","Madera","7550","37.629","-119.085","180400060402	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"0.6","0","0","4.1","2018, 2020, 2023, more","2022","14"
"Diamond Lake","442	","Oregon","SNOTEL","Douglas","5280","43.18787","-122.14003","171003010204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","11","50","9","33","11","1","1","1","1","-0.2","39","28","17",,"0.9","0.2","1.1","0.3","0","6.6","2018, 2019, 2021, more","1994","45"
"Diamond Peak","443	","Nevada","SNOTEL","Eureka","8030","39.56361","-115.84421","160600051503	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.3","43","25","1","Lowest","0.4","0.2","0.5","0.3","0","2.4","2019, 2021, 2025, more","2000","43"
"Dills Camp","444	","Utah","SNOTEL","Sanpete","9240","39.04554","-111.46875","140700020201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","55","60","50","55","100","4","5","4","5","-0.5","39","29","19",,"1.1","1","1.2","1.1","0","3.6","2016, 2018, 2019, more","1984","47"
"Disaster Peak","445	","Nevada","SNOTEL","Humboldt","6260","41.96737","-118.18934","160402010201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,"0","0","0","0","0","0","52","22","1","Lowest","0.3","0","0.5","0","0","3.3","2021, 2023, 2025, more","1988","45"
"Dismal Swamp","446	","California","SNOTEL","Modoc","7370","41.99127","-120.18033","171200070304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","9","10","7","9","13","1","1","1","1","-2.1","11","41","5",,"2.2","2","2.7","2.3","0","10.1","1995, 2018, 2019, more","1984","46"
"Divide","448	","Montana","SNOTEL","Madison","7770","44.79317","-112.05645","100200030102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","16","17","17","18","100","2","3","2","3","-1.4","4","49","3",,"1.9","1.8","1.8","1.7","0","4.7","2016","2000","51"
"Divide Peak","449	","Wyoming","SNOTEL","Carbon","8700","41.30399","-107.15255","140500030203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","40","41","40","43","100","6","6","6","6","-1.6","9","42","4",,"3","2.9","3","2.8","0.2","6.4","2016","1985","46"
"Dollarhide Summit","450	","Idaho","SNOTEL","Blaine","8390","43.6025","-114.67417","170402190201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.6","90","93","76","87","100","10","11","10","10","-0.4","34","30","15",,"2.9","2.8","3.4","3","0","7.7","1993, 2016","1981","45"
"Dome Lake","451	","Wyoming","SNOTEL","Sheridan","8890","44.57462","-107.29537","100901010102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","35","33","32","33","90","6","7","6","7","-1.8","6","45","4",,"2.6","2.7","2.8","2.7","0.5","5.1","2015","1995","48"
"Dome Mountain","1A19P	","British Columbia","Cooperator Snow Sensors","	","5801","53.61667","-121.01667","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","5.9","95","87","100","97","100","17","17","17","18","-0.2","35","14","8",,"6.2","6.8","5.9","6.1","2.2","9.3","2016","2011","21"
"Donkey Reservoir","452	","Utah","SNOTEL","Wayne","9800","38.2084","-111.47412","140700030305	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","64","82","69","100","100","11","11","11","11","0","50","21","19",,"1.4","1.1","1.3","0.9","0","6.1","2007, 2016, 2021, more","1986","41"
"Dorsey Basin","453	","Nevada","SNOTEL","Elko","7900","40.89343","-115.21104","160401010604	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.4","21","38","1","Lowest","1.1","1.2","1.3","1.4","0","3.9","2019, 2021, 2025, more","1984","48"
"Draw Creek","454	","Nevada","SNOTEL","Elko","7300","41.661","-115.3234","160401010403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","17","33","14","25","33","1","1","1","1","-0.3","36","28","14",,"0.6","0.3","0.7","0.4","0","3.4","2018, 2019, 2021, more","1984","43"
"Dry Bread Pond","455	","Utah","SNOTEL","Cache","8290","41.41289","-111.5377","160102030101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","25","28","22","28","71","3","3","2","3","-1.3","13","42","7",,"2","1.8","2.3","1.8","0","8.5","2001, 2007, 2016","1984","48"
"Dry Creek","1243	","Nevada","SNOTEL","Elko","6560","40.8638","-115.22014","160401010601	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0","0",,,"0","0","-0.4","25","10","1","Lowest",,,"0.4","0.4","0","1.8","2019, 2021, 2025, more","2022","13"
"Dry Fork","906	","Utah","SNOTEL","Salt Lake","7190","40.56533","-112.17343","160202040106	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.2","10","29","1","Lowest","1.5","1.2","1.5","1.2","0","4.2","2004, 2007, 2025, more","1997","32"
"Dry Lake","457	","Colorado","SNOTEL","Routt","8240","40.5337","-106.7814","140500010409	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8","29","30","29","30","100","4","4","3","4","-1.9","13","40","6",,"2.8","2.7","2.8","2.7","0","6.4","1980, 1981","1995, 1996","46"
"Dungeness","943	","Washington","SNOTEL","Clallam","3990","47.8722","-123.07879","171100200301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.4","37","18","1","Lowest","0.7","0.2","0.8","0.4","0","5.1","2018, 2019, 2025, more","2017","28"
"Dupuyer Creek","458	","Montana","SNOTEL","Teton","5740","48.06341","-112.7573","100302010501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.7","21","34","1","Lowest","0.9","0.8","0.9","0.7","0","3.3","2009, 2024, 2025, more","1986, 1993, 2019","43"
"EF Blacks Fork GS","1163	","Utah","SNOTEL","Summit","9360","40.88472","-110.54056","140401070302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","46","46","43","46","55","4","5","5","5","-0.7","20","13","3",,"1.3","1.3","1.4","1.3","0.2","3.6","2016, 2021","2023","16"
"East Boulder Mine","1105	","Montana","SNOTEL","Sweet Grass","6310","45.50381","-110.08019","100700020701	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.8","12","16","1","Lowest","1","0.9","0.8","0.8","0","2.3","2008, 2023, 2025","2017","18"
"East Creek","2D08P	","British Columbia","Cooperator Snow Sensors","	","6575","50.63333","-116.91667","170101090000	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","9","102","103","105","108","100","24","23","24","24","0.7","59","19","26",,"8.8","8.7","8.6","8.3","1.6","20","2003","1990","45"
